hs_code,chapter,chapter_desc_en,heading,heading_desc_en,description_en,keywords_ar
010121,01,Animals; live,0101,"Horses, asses, mules and hinnies; live","Horses; live, pure-bred breeding animals",
010129,01,Animals; live,0101,"Horses, asses, mules and hinnies; live","Horses; live, other than pure-bred breeding animals",
010130,01,Animals; live,0101,"Horses, asses, mules and hinnies; live",Asses; live,
010190,01,Animals; live,0101,"Horses, asses, mules and hinnies; live",Mules and hinnies; live,
010221,01,Animals; live,0102,Bovine animals; live,"Cattle; live, pure-bred breeding animals",
010229,01,Animals; live,0102,Bovine animals; live,"Cattle; live, other than pure-bred breeding animals",
010231,01,Animals; live,0102,Bovine animals; live,"Buffalo; live, pure-bred breeding animals",
010239,01,Animals; live,0102,Bovine animals; live,"Buffalo; live, other than pure-bred breeding animals",
010290,01,Animals; live,0102,Bovine animals; live,"Bovine animals; live, other than cattle and buffalo",
010310,01,Animals; live,0103,Swine; live,"Swine; live, pure-bred breeding animals",
010391,01,Animals; live,0103,Swine; live,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",
010392,01,Animals; live,0103,Swine; live,"Swine; live, other than pure-bred breeding animals, weighing 50kg or more",
010410,01,Animals; live,0104,Sheep and goats; live,Sheep; live,
010420,01,Animals; live,0104,Sheep and goats; live,Goats; live,
010511,01,Animals; live,0105,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls","Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g",
010512,01,Animals; live,0105,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls","Poultry; live, turkeys, weighing not more than 185g",
010513,01,Animals; live,0105,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls","Poultry; live, ducks, weighing not more than 185g",
010514,01,Animals; live,0105,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls","Poultry; live, geese, weighing not more than 185g",
010515,01,Animals; live,0105,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls","Poultry; live, guinea fowls, weighing not more than 185g",
010594,01,Animals; live,0105,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls","Poultry; live, fowls of the species Gallus domesticus, weighing more than 185g",
010599,01,Animals; live,0105,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls","Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g",
010611,01,Animals; live,0106,"Animals; live, n.e.c. in chapter 01","Mammals; live, primates",
010612,01,Animals; live,0106,"Animals; live, n.e.c. in chapter 01","Mammals; live, whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",
010613,01,Animals; live,0106,"Animals; live, n.e.c. in chapter 01","Mammals; live, camels and other camelids (Camelidae)",
010614,01,Animals; live,0106,"Animals; live, n.e.c. in chapter 01","Mammals; live, rabbits and hares",
010619,01,Animals; live,0106,"Animals; live, n.e.c. in chapter 01","Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares",
010620,01,Animals; live,0106,"Animals; live, n.e.c. in chapter 01",Reptiles; live (including snakes and turtles),
010631,01,Animals; live,0106,"Animals; live, n.e.c. in chapter 01","Birds; live, birds of prey",
010632,01,Animals; live,0106,"Animals; live, n.e.c. in chapter 01","Birds; live, Psittaciformes",
010633,01,Animals; live,0106,"Animals; live, n.e.c. in chapter 01","Birds; live, ostriches; emus (Dromaius novaehollandiae)",
010639,01,Animals; live,0106,"Animals; live, n.e.c. in chapter 01","Birds; live, other than birds of prey, Psittaciformes, ostriches and emus (Dromaius novaehollandiae)",
010641,01,Animals; live,0106,"Animals; live, n.e.c. in chapter 01","Insects; live, bees",
010649,01,Animals; live,0106,"Animals; live, n.e.c. in chapter 01","Insects; live, other than bees",
010690,01,Animals; live,0106,"Animals; live, n.e.c. in chapter 01","Animals; live, n.e.c. in chapter 01, other than mammals, reptiles, birds and insects",
020110,02,Meat and edible meat offal,0201,Meat of bovine animals; fresh or chilled,"Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled",
020120,02,Meat and edible meat offal,0201,Meat of bovine animals; fresh or chilled,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled",
020130,02,Meat and edible meat offal,0201,Meat of bovine animals; fresh or chilled,"Meat; of bovine animals, boneless cuts, fresh or chilled",
020210,02,Meat and edible meat offal,0202,Meat of bovine animals; frozen,"Meat; of bovine animals, carcasses and half-carcasses, frozen",
020220,02,Meat and edible meat offal,0202,Meat of bovine animals; frozen,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), frozen",
020230,02,Meat and edible meat offal,0202,Meat of bovine animals; frozen,"Meat; of bovine animals, boneless cuts, frozen",لحم بقري مجمد;لحم بقري;لحم مجمد;beef;frozen beef
020311,02,Meat and edible meat offal,0203,"Meat of swine; fresh, chilled or frozen","Meat; of swine, carcasses and half-carcasses, fresh or chilled",
020312,02,Meat and edible meat offal,0203,"Meat of swine; fresh, chilled or frozen","Meat; of swine, hams, shoulders and cuts thereof, with bone in, fresh or chilled",
020319,02,Meat and edible meat offal,0203,"Meat of swine; fresh, chilled or frozen","Meat; of swine, n.e.c. in item no. 0203.1, fresh or chilled",
020321,02,Meat and edible meat offal,0203,"Meat of swine; fresh, chilled or frozen","Meat; of swine, carcasses and half-carcasses, frozen",
020322,02,Meat and edible meat offal,0203,"Meat of swine; fresh, chilled or frozen","Meat; of swine, hams, shoulders and cuts thereof, with bone in, frozen",
020329,02,Meat and edible meat offal,0203,"Meat of swine; fresh, chilled or frozen","Meat; of swine, n.e.c. in item no. 0203.2, frozen",
020410,02,Meat and edible meat offal,0204,"Meat of sheep or goats; fresh, chilled or frozen","Meat; of sheep, lamb carcasses and half-carcasses, fresh or chilled",
020421,02,Meat and edible meat offal,0204,"Meat of sheep or goats; fresh, chilled or frozen","Meat; of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), fresh or chilled",
020422,02,Meat and edible meat offal,0204,"Meat of sheep or goats; fresh, chilled or frozen","Meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled",
020423,02,Meat and edible meat offal,0204,"Meat of sheep or goats; fresh, chilled or frozen","Meat; of sheep (including lamb), boneless cuts, fresh or chilled",
020430,02,Meat and edible meat offal,0204,"Meat of sheep or goats; fresh, chilled or frozen","Meat; of sheep, lamb carcasses and half-carcasses, frozen",
020441,02,Meat and edible meat offal,0204,"Meat of sheep or goats; fresh, chilled or frozen","Meat; of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), frozen",
020442,02,Meat and edible meat offal,0204,"Meat of sheep or goats; fresh, chilled or frozen","Meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), frozen",
020443,02,Meat and edible meat offal,0204,"Meat of sheep or goats; fresh, chilled or frozen","Meat; of sheep (including lamb), boneless cuts, frozen",لحم ضأن مجمد;لحم ضأن;لحم غنم;mutton;lamb;sheep meat
020450,02,Meat and edible meat offal,0204,"Meat of sheep or goats; fresh, chilled or frozen","Meat; of goats, fresh, chilled or frozen",
020500,02,Meat and edible meat offal,0205,"Meat; of horses, asses, mules or hinnies, fresh, chilled or frozen","Meat; of horses, asses, mules or hinnies, fresh, chilled or frozen",
020610,02,Meat and edible meat offal,0206,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies; fresh, chilled or frozen","Offal, edible; of bovine animals, fresh or chilled",
020621,02,Meat and edible meat offal,0206,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies; fresh, chilled or frozen","Offal, edible; of bovine animals, tongues, frozen",
020622,02,Meat and edible meat offal,0206,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies; fresh, chilled or frozen","Offal, edible; of bovine animals, livers, frozen",
020629,02,Meat and edible meat offal,0206,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies; fresh, chilled or frozen","Offal, edible; of bovine animals, (other than tongues and livers), frozen",
020630,02,Meat and edible meat offal,0206,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies; fresh, chilled or frozen","Offal, edible; of swine, fresh or chilled",
020641,02,Meat and edible meat offal,0206,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies; fresh, chilled or frozen","Offal, edible; of swine, livers, frozen",
020649,02,Meat and edible meat offal,0206,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies; fresh, chilled or frozen","Offal, edible; of swine, (other than livers), frozen",
020680,02,Meat and edible meat offal,0206,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies; fresh, chilled or frozen","Offal, edible; of sheep, goats, horses, asses, mules or hinnies, fresh or chilled",
020690,02,Meat and edible meat offal,0206,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies; fresh, chilled or frozen","Offal, edible; of sheep, goats, horses, asses, mules or hinnies, frozen",
020711,02,Meat and edible meat offal,0207,"Meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowls of the species Gallus domesticus), fresh, chilled or frozen","Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, fresh or chilled",
020712,02,Meat and edible meat offal,0207,"Meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowls of the species Gallus domesticus), fresh, chilled or frozen","Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, frozen",
020713,02,Meat and edible meat offal,0207,"Meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowls of the species Gallus domesticus), fresh, chilled or frozen","Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, fresh or chilled",
